ticker,event_date,box_high,box_low,box_days,box_range_pct,volume_confirmed,regime_at_event,breakout_magnitude_pct,liquidity_level_at_event,is_etf,event_seq_for_ticker,is_limit_up_day
2330,2024-12-30,1062.0672607421875,947.091064453125,51,11.45,False,🔄 大盤低波盤整區,0.38,🟢 流動性正常,,1,False
2330,2025-02-03,1105.2723388671875,1008.4766845703125,28,9.16,False,⚠️ 大盤高波動震盪區,-5.31,🟢 流動性正常,,2,False
2330,2025-06-09,981.6932983398438,872.6162109375,20,11.76,False,🔄 大盤低波盤整區,0.6,🟢 流動性正常,,3,False
2330,2025-07-15,1070.7276611328125,972.8492431640625,20,9.58,False,📈 大盤穩健多頭趨勢,2.3,🟢 流動性正常,,4,False
2330,2025-08-05,1139.806884765625,1036.18798828125,20,9.52,False,📈 大盤穩健多頭趨勢,-0.43,🟢 流動性正常,,5,False
2330,2025-09-10,1184.215087890625,1065.79345703125,41,10.53,False,📈 大盤穩健多頭趨勢,2.08,🟢 流動性正常,,6,False
2330,2025-10-07,1273.1693115234375,1144.7410888671875,20,10.62,False,📈 大盤穩健多頭趨勢,11.67,🟢 流動性正常,,7,False
2330,2025-12-29,1496.0977783203125,1352.4327392578125,49,10.09,False,📈 大盤穩健多頭趨勢,1.66,🟢 流動性正常,,8,False
2330,2026-02-24,1809.2545166015625,1660.14013671875,20,8.6,False,📈 大盤穩健多頭趨勢,7.97,🟢 流動性正常,,9,False
2330,2026-03-10,1903.693603515625,1729.726806640625,20,9.58,False,⚠️ 大盤高波動震盪區,-3.39,🟢 流動性正常,,10,False
2330,2026-04-14,2003.1031494140625,1799.3135986328125,27,10.72,False,⚠️ 大盤高波動震盪區,2.32,🟢 流動性正常,,11,False
2330,2026-06-02,2303.853759765625,2044.54541015625,20,11.93,False,📈 大盤穩健多頭趨勢,3.03,🟢 流動性正常,,12,False
2330,2026-06-22,2418.547607421875,2179.186279296875,25,10.41,False,📈 大盤穩健多頭趨勢,3.78,🟢 流動性正常,,13,False
3374,2025-01-10,203.0634307861328,180.17617797851562,30,11.94,False,🔄 大盤低波盤整區,3.6,🟢 流動性正常,,1,False
3374,2025-06-09,141.21917724609375,129.53207397460938,20,8.63,False,🔄 大盤低波盤整區,1.38,🟢 流動性正常,,2,False
3374,2025-09-25,142.31796264648438,130.91268920898438,20,8.35,True,📈 大盤穩健多頭趨勢,2.44,🟢 流動性正常,,3,False
3374,2025-11-03,151.7397003173828,135.87149047851562,29,11.03,False,📈 大盤穩健多頭趨勢,2.94,🟢 流動性正常,,4,False
3374,2026-01-06,143.80560302734375,128.4332733154297,30,11.29,False,📈 大盤穩健多頭趨勢,6.21,🟢 流動性正常,,5,False
6223,2025-01-15,908.9703369140625,814.73583984375,20,10.93,True,⚠️ 大盤高波動震盪區,-6.91,🟢 流動性正常,,1,False
